timestamp, clocks.current.video [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.encoder [%], utilization.decoder [%], temperature.gpu, power.draw [W]
2026/09/05 19:29:34.894, 555 MHz, 210 MHz, 405 MHz, 0 %, 0 %, 0 %, 53, 1.70 W
2026/09/05 19:29:35.906, 555 MHz, 210 MHz, 405 MHz, 0 %, 0 %, 0 %, 53, 1.69 W
2026/09/05 19:29:36.912, 555 MHz, 210 MHz, 405 MHz, 0 %, 0 %, 0 %, 53, 1.68 W
2026/09/05 19:29:37.916, 555 MHz, 210 MHz, 405 MHz, 0 %, 0 %, 0 %, 53, 1.69 W
2026/09/05 19:29:38.918, 555 MHz, 210 MHz, 405 MHz, 0 %, 0 %, 0 %, 53, 1.69 W
2026/09/05 19:29:39.932, 555 MHz, 210 MHz, 405 MHz, 0 %, 0 %, 0 %, 53, 1.70 W
2026/09/05 19:29:40.936, 555 MHz, 210 MHz, 405 MHz, 0 %, 0 %, 0 %, 53, 1.68 W
2026/09/05 19:29:41.949, 555 MHz, 210 MHz, 405 MHz, 0 %, 0 %, 0 %, 53, 1.74 W
2026/09/05 19:29:42.963, 1035 MHz, 1170 MHz, 7001 MHz, 29 %, 1 %, 0 %, 54, 3.34 W
2026/09/05 19:29:44.104, 1080 MHz, 1222 MHz, 5501 MHz, 23 %, 9 %, 0 %, 54, 6.87 W
2026/09/05 19:29:45.108, 1080 MHz, 1207 MHz, 5501 MHz, 34 %, 16 %, 0 %, 55, 8.59 W
2026/09/05 19:29:46.125, 1035 MHz, 1170 MHz, 5501 MHz, 43 %, 19 %, 0 %, 55, 8.43 W
2026/09/05 19:29:47.133, 1035 MHz, 1170 MHz, 5501 MHz, 33 %, 15 %, 0 %, 55, 8.38 W
2026/09/05 19:29:48.146, 1035 MHz, 1170 MHz, 5501 MHz, 40 %, 17 %, 0 %, 55, 8.36 W
2026/09/05 19:29:49.159, 1057 MHz, 1200 MHz, 5501 MHz, 42 %, 20 %, 0 %, 56, 8.47 W
2026/09/05 19:29:50.170, 1057 MHz, 1200 MHz, 5501 MHz, 35 %, 12 %, 0 %, 56, 8.49 W
2026/09/05 19:29:51.184, 1035 MHz, 1170 MHz, 5501 MHz, 39 %, 16 %, 0 %, 56, 8.22 W
2026/09/05 19:29:52.198, 1035 MHz, 1170 MHz, 5501 MHz, 32 %, 12 %, 0 %, 57, 8.37 W
2026/09/05 19:29:53.200, 990 MHz, 1110 MHz, 5501 MHz, 33 %, 13 %, 0 %, 57, 8.35 W
2026/09/05 19:29:54.216, 1005 MHz, 1140 MHz, 5501 MHz, 46 %, 19 %, 0 %, 57, 8.06 W
2026/09/05 19:29:55.231, 1005 MHz, 1155 MHz, 5501 MHz, 40 %, 16 %, 0 %, 58, 8.44 W
2026/09/05 19:29:56.235, 1522 MHz, 1725 MHz, 5501 MHz, 40 %, 9 %, 0 %, 60, 15.98 W
2026/09/05 19:29:57.243, 1530 MHz, 1740 MHz, 5501 MHz, 52 %, 11 %, 0 %, 60, 21.30 W
2026/09/05 19:29:58.256, 1530 MHz, 1740 MHz, 5501 MHz, 46 %, 11 %, 0 %, 61, 23.09 W
2026/09/05 19:29:59.271, 1530 MHz, 1740 MHz, 5501 MHz, 53 %, 13 %, 0 %, 61, 22.04 W
2026/09/05 19:30:00.287, 1530 MHz, 1740 MHz, 5501 MHz, 29 %, 10 %, 0 %, 61, 18.69 W
2026/09/05 19:30:01.314, 1447 MHz, 1635 MHz, 5501 MHz, 42 %, 12 %, 0 %, 61, 16.58 W
2026/09/05 19:30:02.328, 1447 MHz, 1635 MHz, 5501 MHz, 38 %, 11 %, 0 %, 61, 16.96 W
2026/09/05 19:30:03.340, 1207 MHz, 1380 MHz, 5501 MHz, 31 %, 13 %, 0 %, 61, 13.98 W
2026/09/05 19:30:04.353, 1087 MHz, 1237 MHz, 5501 MHz, 29 %, 12 %, 0 %, 61, 10.00 W
2026/09/05 19:30:05.367, 1012 MHz, 1140 MHz, 5501 MHz, 35 %, 15 %, 0 %, 61, 8.65 W
2026/09/05 19:30:06.377, 967 MHz, 1095 MHz, 5501 MHz, 37 %, 16 %, 0 %, 61, 8.62 W
2026/09/05 19:30:07.379, 967 MHz, 1095 MHz, 5501 MHz, 33 %, 14 %, 0 %, 61, 8.47 W
2026/09/05 19:30:08.395, 990 MHz, 1110 MHz, 5501 MHz, 37 %, 16 %, 0 %, 61, 8.34 W
2026/09/05 19:30:09.411, 990 MHz, 1110 MHz, 5501 MHz, 36 %, 17 %, 0 %, 62, 8.45 W
2026/09/05 19:30:10.423, 1485 MHz, 1687 MHz, 5501 MHz, 38 %, 11 %, 0 %, 63, 17.62 W
2026/09/05 19:30:11.436, 1485 MHz, 1687 MHz, 5501 MHz, 27 %, 10 %, 0 %, 63, 17.51 W
2026/09/05 19:30:12.437, 1312 MHz, 1485 MHz, 5501 MHz, 35 %, 10 %, 0 %, 63, 13.51 W
